timestamp,ego_x,ego_y,opp_x,opp_y,distance,ego_speed,opp_speed
1775074094.7002347,0.0,0.0,0.0,0.7,0.7,0.0,0.0
1775074094.75049,0.0,0.0,0.0,0.7,0.7,0.0,0.0
1775074094.8000839,0.0,0.0,0.0,0.7,0.7,0.0,0.0
1775074094.8500917,0.0,0.0,0.0,0.7,0.7,0.0,0.0
1775074094.9001095,0.003932683307211165,1.108625879860993e-06,0.007677505081626514,0.7000042987434317,0.7000132069217492,0.13865870638725813,0.27433579792631513
1775074094.9521778,0.01116239978237869,2.1197085583918506e-05,0.022028357437901498,0.7000832941482381,0.7001464195291816,0.2203432997510384,0.4382329061454657
1775074095.0001292,0.024310396834864068,0.00017469101761482755,0.04807949563704172,0.7022817434787129,0.7025092762188118,0.3024211973746724,0.6029191647806956
1775074095.0500774,0.041094180898357445,0.0006891085738749798,0.08101145499998838,0.7084090685882698,0.7088447859542183,0.36675469367248087,0.7320019400095623
1775074095.1000886,0.06491631365592426,0.0020634786021483924,0.12745347315183234,0.7190412244086493,0.719699926566335,0.42587304125508846,0.8506207126872056
1775074095.150184,0.08252343306295926,0.0035520416942751215,0.16167353659545092,0.7277018041925924,0.7284625024087195,0.4567037759587106,0.9124814388548903
1775074095.2001073,0.10616383258555925,0.0061406975011060825,0.2071228757647222,0.7405714953045596,0.7413375244528427,0.51621295911997,0.9746400190745754
1775074095.2498868,0.1410515284952392,0.016496961409974593,0.26465362271752807,0.7585345462495932,0.752261427304863,0.6895255941247337,1.0317597585903324
1775074095.3002222,0.16883880571033313,0.026230309088862504,0.30424444031789466,0.7722023743885357,0.7581615976102564,0.7799096472843922,1.0615482017278806
1775074095.35015,0.2156658840095176,0.04414294034892245,0.36480843043827593,0.7952199229907818,0.76574155758301,0.8863857353110609,1.0966401984110594
1775074095.4018972,0.24951556881837464,0.05806153841785489,0.4056399680476998,0.812253695880314,0.7701822111764179,0.9419139453585881,1.114940981233984
1775074095.4500234,0.30305788584246457,0.08179197167460744,0.4671842470784175,0.840145002064797,0.7759102919503892,1.0073284335818575,1.1365000471830249
1775074095.499878,0.3494294483490894,0.10407359709619753,0.5187048551092834,0.8653856246735365,0.7799039470779386,1.048982064385061,1.1882680950448372
1775074095.5499122,0.3969815995831615,0.12814161196950416,0.573067223926996,0.893063730432788,0.7849280186201255,1.0816306065706316,1.2516287134246928
1775074095.5999677,0.4453929377983159,0.1537030567846,0.6299546749885584,0.9229796474166913,0.7911065084609116,1.107220868122597,1.163188127302622
1775074095.6519694,0.4857238326278038,0.1764305871537296,0.6664279271909656,0.9421931315263365,0.7867949187405195,1.2324278450920065,1.032103684143992
1775074095.6999006,0.5307174177807643,0.20269335017395268,0.6969628809244944,0.9577272535562613,0.7731194922342849,1.3683333384411691,0.7683531712303059
1775074095.7501702,0.5921939355961341,0.24009496700067526,0.7314723484333324,0.9738714022644458,0.7468777230784538,1.504893204999166,0.7585090877350043
1775074095.8000815,0.6709478181953591,0.29184168628753404,0.7610064741942953,0.9872555371011342,0.701221067441456,1.6303829439624933,0.39396896463733866
1775074095.8510056,0.7396488068647761,0.3394626196615714,0.7810532112309376,0.996453664912622,0.6582944312699178,1.7102903681179478,0.38639426629140233
1775074095.9002202,0.7955298478475179,0.380729384217481,0.793567779536841,1.0020243638350963,0.6212980777453836,1.7615860413614022,0.3086552923398909
1775074095.9504447,0.8646797286498462,0.4340525785524171,0.8069498772354269,1.0077677339489475,0.5766123613624633,1.6040126795752618,0.31919734091150126
1775074096.0002954,0.9104984508484023,0.47114990503444115,0.8225892561266347,1.0141603309043234,0.5500803115182551,1.3737425346441166,0.5096597154583391
1775074096.050174,0.9507960826345679,0.5051287225224698,0.8444939282194287,1.0208541559742337,0.5265670619610667,1.2747166515528947,0.6318906260378934
1775074096.100383,0.9980002976631059,0.5458114711144069,0.8704446938599295,1.030060448952301,0.5007669164378157,1.2260199694014482,0.4258460802300143
1775074096.1501114,1.0442465944280954,0.5854998996584829,0.8871949928614071,1.0365198554869233,0.4775816224585595,1.1561008211645096,0.3112380783522528
1775074096.2004905,1.080090416500952,0.6141828943317739,0.9006208322480764,1.0417230956717853,0.46368087671776753,0.6806008211645098,0.2713260496644074
1775074096.2501888,1.1010396667035838,0.6293019335674459,0.9128548891404922,1.0465754602213364,0.45774524197706884,0.39995595460828376,0.25742675809767696
1775074096.3002803,1.1146331699900751,0.6397578627815643,0.9246405656880945,1.0513876485141083,0.45336108147002324,0.3022218890843468,0.25258635503102417
1775074096.3501654,1.1259511643212021,0.6481990943682271,0.9362629001946154,1.0562024824800744,0.44994266552318024,0.26818617811251066,0.2509006934463903
1775074096.4001493,1.136523249041676,0.655873383422216,0.9478171127952221,1.0610448539027804,0.44696076600575135,0.25633330352729616,0.25031366485831963
1775074096.450716,1.146888349754176,0.663205563082798,0.9593075203382228,1.0659907580129373,0.44432249641368293,0.25220556146105644,0.2501092332177379
